iso3,year,family_violence_index
AUS,2014,0.25
AUS,2014,0
AUS,2014,0.5
AUT,2014,0
AUT,2014,0
AUT,2014,0
BEL,2014,0
BEL,2014,0
BEL,2014,0
CAN,2014,0
CAN,2014,0
CAN,2014,0
CZE,2014,0
CZE,2014,0.75
CZE,2014,0.25
DNK,2014,0
DNK,2014,0.25
DNK,2014,0
FIN,2014,0.25
FIN,2014,0
FIN,2014,0
FRA,2014,0
FRA,2014,0
FRA,2014,0
DEU,2014,0.5
DEU,2014,0
DEU,2014,0.25
GRC,2014,0.25
GRC,2014,0
GRC,2014,0
HUN,2014,0.5
HUN,2014,0.5
HUN,2014,0.5
ISL,2014,0.5
ISL,2014,0.25
ISL,2014,0
IRL,2014,0
IRL,2014,0
IRL,2014,0
ITA,2014,0.25
ITA,2014,0
ITA,2014,0.5
JPN,2014,0.25
JPN,2014,0.5
JPN,2014,0.5
KOR,2014,0
KOR,2014,0.5
KOR,2014,0
LUX,2014,0
LUX,2014,0
LUX,2014,0
MEX,2014,0
MEX,2014,0
MEX,2014,0.5
NLD,2014,0.5
NLD,2014,0.25
NLD,2014,0
NZL,2014,0.25
NZL,2014,0
NZL,2014,0
NOR,2014,0
NOR,2014,0.5
NOR,2014,0.25
POL,2014,0.25
POL,2014,0
POL,2014,0.25
PRT,2014,0
PRT,2014,0.25
PRT,2014,0
SVK,2014,0.25
SVK,2014,0
SVK,2014,0.5
ESP,2014,0.25
ESP,2014,0
ESP,2014,0
SWE,2014,0
SWE,2014,0
SWE,2014,0.25
CHE,2014,0.5
CHE,2014,0
CHE,2014,0
TUR,2014,0.25
TUR,2014,0
TUR,2014,0.25
GBR,2014,0.25
GBR,2014,0
GBR,2014,0
USA,2014,0
USA,2014,0
USA,2014,0
ALB,2014,0.25
ALB,2014,0.5
ALB,2014,0.25
DZA,2014,0.75
DZA,2014,0.75
DZA,2014,0.5
ARG,2014,0
ARG,2014,0.25
ARG,2014,0.25
ARM,2014,1
ARM,2014,0.75
ARM,2014,0.5
AZE,2014,0.25
AZE,2014,0.5
AZE,2014,0.5
BGD,2014,0.25
BGD,2014,0.75
BGD,2014,0.25
BLR,2014,0.25
BLR,2014,0.5
BLR,2014,1
BIH,2014,0.25
BIH,2014,0.5
BIH,2014,0
BRA,2014,0.25
BRA,2014,0.25
BRA,2014,0
BGR,2014,0.25
BGR,2014,0.75
BGR,2014,0.25
KHM,2014,0.25
KHM,2014,0.5
KHM,2014,0.25
CHL,2014,0
CHL,2014,0
CHL,2014,0
CHN,2014,0.5
CHN,2014,0.5
CHN,2014,0.25
COL,2014,0
COL,2014,0.25
COL,2014,0
HRV,2014,0.25
HRV,2014,0
HRV,2014,0
CYP,2014,0.5
CYP,2014,0.25
CYP,2014,0
EGY,2014,1
EGY,2014,0.5
EGY,2014,0.75
EST,2014,0
EST,2014,0
EST,2014,0.5
ETH,2014,0.25
ETH,2014,0.5
ETH,2014,0.75
GEO,2014,0.25
GEO,2014,0
GEO,2014,0.5
GHA,2014,0.25
GHA,2014,0.5
GHA,2014,1
HTI,2014,0.75
HTI,2014,0.5
HTI,2014,1
HKG,2014,0.5
HKG,2014,0
HKG,2014,0.5
IND,2014,0.25
IND,2014,0.5
IND,2014,0
IDN,2014,0.5
IDN,2014,0.5
IDN,2014,0.5
IRN,2014,1
IRN,2014,0.75
IRN,2014,0.5
ISR,2014,0.25
ISR,2014,0
ISR,2014,0
KAZ,2014,0.25
KAZ,2014,0.5
KAZ,2014,1
LVA,2014,0.5
LVA,2014,0.5
LVA,2014,0.5
LTU,2014,0.25
LTU,2014,0.5
LTU,2014,0.5
MKD,2014,0.5
MKD,2014,0.5
MKD,2014,0.25
MYS,2014,0.5
MYS,2014,0.5
MYS,2014,0.5
MDA,2014,0.25
MDA,2014,0.5
MDA,2014,0.5
MOZ,2014,0
MOZ,2014,0
MOZ,2014,0
NGA,2014,0.5
NGA,2014,0.5
NGA,2014,1
PAK,2014,0.75
PAK,2014,0.75
PAK,2014,0
PRY,2014,0.5
PRY,2014,0
PRY,2014,0
PER,2014,0
PER,2014,0.25
PER,2014,0
PHL,2014,0
PHL,2014,0.5
PHL,2014,0.5
ROU,2014,0.25
ROU,2014,0.5
ROU,2014,0.5
RUS,2014,0.75
RUS,2014,0.75
RUS,2014,0.75
SAU,2014,0.5
SAU,2014,1
SAU,2014,1
SGP,2014,0.5
SGP,2014,0.25
SGP,2014,0.5
SVN,2014,0
SVN,2014,0.5
SVN,2014,0.25
ZAF,2014,0.25
ZAF,2014,0.25
ZAF,2014,0.5
SDN,2014,1
SDN,2014,0.75
SDN,2014,1
TZA,2014,0.5
TZA,2014,0.25
TZA,2014,0.5
THA,2014,0.5
THA,2014,0.5
THA,2014,0.5
UKR,2014,0.25
UKR,2014,0.5
UKR,2014,0.5
ARE,2014,1
ARE,2014,0.75
ARE,2014,0.5
URY,2014,0.5
URY,2014,0.5
URY,2014,0.25
VNM,2014,0.25
VNM,2014,0.5
VNM,2014,0.25
ZMB,2014,1
ZMB,2014,0.5
ZMB,2014,0.5
SRB,2014,0.25
SRB,2014,0.5
SRB,2014,0.25
AUS,2014,4
AUS,2019,3
AUS,2014,25
AUT,2014,13
BEL,2014,24
CAN,2014,6
CAN,2019,8
CAN,2014,6
CZE,2014,21
DNK,2014,32
FIN,2014,11
FIN,2019,11
FIN,2014,30
FRA,2014,7
FRA,2019,7
FRA,2014,26
DEU,2014,20
DEU,2019,20
DEU,2014,22
GRC,2014,19
HUN,2014,9
HUN,2019,9
HUN,2014,21
ISL,2014,22
IRL,2014,15
ITA,2014,7
ITA,2019,5
ITA,2014,19
JPN,2014,14
JPN,2019,9
JPN,2014,15
KOR,2014,19
KOR,2019,18
LUX,2014,22
MEX,2014,16
MEX,2019,5
MEX,2014,47
NLD,2014,9
NLD,2019,6
NLD,2014,25
NZL,2014,9
NZL,2019,8
NZL,2014,33
NOR,2014,11
NOR,2019,10
NOR,2014,27
POL,2014,10
POL,2019,8
POL,2014,13
PRT,2014,19
SVK,2014,23
ESP,2014,10
ESP,2019,10
ESP,2014,13
SWE,2014,12
SWE,2019,10
SWE,2014,28
CHE,2014,16
CHE,2019,15
CHE,2014,10
TUR,2014,25
TUR,2019,13
TUR,2014,42
GBR,2014,12
GBR,2019,10
GBR,2014,29
USA,2014,13
USA,2019,11
USA,2014,36
ALB,2014,30
ALB,2019,30
ALB,2014,31
DZA,2014,52
DZA,2019,48
ARG,2014,4
ARG,2019,12
ARM,2014,9
ARM,2019,10
ARM,2014,10
AZE,2014,22
AZE,2019,28
AZE,2014,14
BGD,2014,33
BGD,2019,28
BGD,2014,53
BLR,2014,4
BLR,2019,4
BLR,2014,25
BIH,2014,5
BIH,2019,5
BRA,2014,15
BRA,2019,9
BRA,2014,31
BGR,2014,21
BGR,2019,18
BGR,2014,23
KHM,2014,46
KHM,2019,50
KHM,2014,14
CHL,2014,12
CHL,2019,10
CHL,2014,36
CHN,2014,49
CHN,2019,33
CHN,2014,15
COL,2014,11
COL,2019,11
COL,2014,39
HRV,2014,13
CYP,2014,15
EGY,2014,39
EGY,2019,36
