iso3,year,hours_worked
AUS,1979,1832.08
AUS,1980,1830.3
AUS,1981,1816.26
AUS,1982,1792.05
AUS,1983,1778.37
AUS,1984,1800.57
AUS,1985,1792.94
AUS,1986,1797.23
AUS,1987,1794.89
AUS,1988,1793.04
AUS,1989,1806.19
AUS,1990,1788.28
AUS,1991,1773.5
AUS,1992,1772.44
AUS,1993,1790.94
AUS,1994,1799.62
AUS,1995,1798.92
AUS,1996,1792.1
AUS,1997,1790.49
AUS,1998,1776.63
AUS,1999,1781.45
AUS,2000,1779.63
AUS,2001,1746.37
AUS,2002,1741.82
AUS,2003,1735.1
AUS,2004,1733.74
AUS,2005,1732.26
AUS,2006,1721.66
AUS,2007,1722.64
AUS,2008,1720.88
AUS,2009,1692.33
AUS,2010,1699.94
AUS,2011,1699.92
AUS,2012,1692.55
AUS,2013,1689.38
AUS,2014,1683.27
AUS,2015,1683.55
AUS,2016,1673.4
AUS,2017,1674.9
AUS,2018,1665.04
AUT,1995,1658
AUT,1996,1689
AUT,1997,1697
AUT,1998,1677
AUT,1999,1680
AUT,2000,1681
AUT,2001,1669
AUT,2002,1666
AUT,2003,1658
AUT,2004,1660
AUT,2005,1638
AUT,2006,1622
AUT,2007,1612
AUT,2008,1605
AUT,2009,1564
AUT,2010,1557
AUT,2011,1562
AUT,2012,1540
AUT,2013,1525
AUT,2014,1516
AUT,2015,1500
AUT,2016,1512
AUT,2017,1511
AUT,2018,1511
BEL,1970,1883.16
BEL,1971,1873.42
BEL,1972,1847.49
BEL,1973,1820.08
BEL,1974,1791.9
BEL,1975,1782.67
BEL,1976,1785.45
BEL,1977,1759.77
BEL,1978,1742.99
BEL,1979,1726.57
BEL,1980,1706.53
BEL,1981,1683.39
BEL,1982,1668.97
BEL,1983,1674.93
BEL,1984,1699
BEL,1985,1705.02
BEL,1986,1684.96
BEL,1987,1669.92
BEL,1988,1657.88
BEL,1989,1648.85
BEL,1990,1662.9
BEL,1991,1625.79
BEL,1992,1602.72
BEL,1993,1558.59
BEL,1994,1558.59
BEL,1995,1584.67
BEL,1996,1558.59
BEL,1997,1571.63
BEL,1998,1582.66
BEL,1999,1582
BEL,2000,1595
BEL,2001,1588
BEL,2002,1583
BEL,2003,1578
BEL,2004,1573
BEL,2005,1565
BEL,2006,1572
BEL,2007,1577
BEL,2008,1570
BEL,2009,1548
BEL,2010,1546
BEL,2011,1560
BEL,2012,1560
BEL,2013,1558
BEL,2014,1545
BEL,2015,1545
BEL,2016,1545
BEL,2017,1545
BEL,2018,1545
CAN,1961,2059
CAN,1962,2058
CAN,1963,2041
CAN,1964,2033
CAN,1965,2016
CAN,1966,2001
CAN,1967,1993
CAN,1968,1958
CAN,1969,1943
CAN,1970,1925
CAN,1971,1912
CAN,1972,1904
CAN,1973,1898
CAN,1974,1891
CAN,1975,1872
CAN,1976,1862
CAN,1977,1834
CAN,1978,1836
CAN,1979,1841
CAN,1980,1827
CAN,1981,1812
CAN,1982,1789
CAN,1983,1779
CAN,1984,1789
CAN,1985,1795
CAN,1986,1797
CAN,1987,1807
CAN,1988,1808
CAN,1989,1802
CAN,1990,1797
CAN,1991,1775
CAN,1992,1772
CAN,1993,1769
CAN,1994,1778
CAN,1995,1775
CAN,1996,1790
CAN,1997,1798
CAN,1998,1794
CAN,1999,1793
CAN,2000,1787
CAN,2001,1774
CAN,2002,1755
CAN,2003,1745
CAN,2004,1755
CAN,2005,1745
CAN,2006,1744
CAN,2007,1744
CAN,2008,1741
CAN,2009,1712
CAN,2010,1715
CAN,2011,1713
CAN,2012,1722
CAN,2013,1716
CAN,2014,1710
CAN,2015,1712
CAN,2016,1706
CAN,2017,1695
CAN,2018,1708
CZE,1993,1857
CZE,1994,1839
CZE,1995,1858
CZE,1996,1853
CZE,1997,1858
CZE,1998,1877
CZE,1999,1894
CZE,2000,1896
CZE,2001,1818
CZE,2002,1817
CZE,2003,1806
CZE,2004,1817
CZE,2005,1817
CZE,2006,1799
CZE,2007,1784
CZE,2008,1790
CZE,2009,1779
CZE,2010,1800
CZE,2011,1806
CZE,2012,1776
CZE,2013,1763
CZE,2014,1777
CZE,2015,1756
CZE,2016,1779
CZE,2017,1784
CZE,2018,1792
DNK,1970,1845
DNK,1971,1810
DNK,1972,1752
DNK,1973,1710
DNK,1974,1691
DNK,1975,1617
DNK,1976,1624
DNK,1977,1598
DNK,1978,1575
DNK,1979,1564
DNK,1980,1577
DNK,1981,1546
DNK,1982,1553
DNK,1983,1546
DNK,1984,1541
DNK,1985,1527
DNK,1986,1531
DNK,1987,1493
DNK,1988,1471
DNK,1989,1455
DNK,1990,1441
DNK,1991,1437
DNK,1992,1452
DNK,1993,1449
DNK,1994,1407
DNK,1995,1419
DNK,1996,1412
DNK,1997,1428
DNK,1998,1441
DNK,1999,1456
DNK,2000,1466
DNK,2001,1469
DNK,2002,1463
DNK,2003,1458
DNK,2004,1458
DNK,2005,1451
DNK,2006,1456
DNK,2007,1433
DNK,2008,1430
