country,year,sex,5-14 years,15-24 years,25-34 years,35-54 years,55-74 years,75+ years
Albania,1987,male,0,6.71,0,0,0,0
Albania,1987,male,0,0,0,5.19,0,0
Albania,1987,female,0,4.83,0,0,0,0
Albania,1987,male,0,0,0,0,0,4.59
Albania,1987,male,0,0,3.28,0,0,0
Albania,1987,female,0,0,0,0,0,2.81
Albania,1987,female,0,0,0,2.15,0,0
Albania,1987,female,0,0,1.56,0,0,0
Albania,1987,male,0,0,0,0,0.73,0
Albania,1987,female,0,0,0,0,0,0
Albania,1987,female,0,0,0,0,0,0
Albania,1987,male,0,0,0,0,0,0
Albania,1988,female,0,0,0,0,0,5.49
Albania,1988,male,0,5.33,0,0,0,0
Albania,1988,male,0,0,0,0,0,4.48
Albania,1988,male,0,0,0,4.46,0,0
Albania,1988,male,0,0,0,0,2.85,0
Albania,1988,female,0,2.71,0,0,0,0
Albania,1988,female,0,0,0,0,2.03,0
Albania,1988,female,0,0,1.91,0,0,0
Albania,1988,male,0,0,1.79,0,0,0
Albania,1988,female,0,0,0,1.41,0,0
Albania,1988,female,0,0,0,0,0,0
Albania,1988,male,0,0,0,0,0,0
Albania,1989,male,0,0,0,0,0,8.89
Albania,1989,male,0,0,6.35,0,0,0
Albania,1989,male,0,0,0,4.71,0,0
Albania,1989,male,0,0,0,0,4.22,0
Albania,1989,male,0,3.71,0,0,0,0
Albania,1989,female,0,0,0,2.43,0,0
Albania,1989,female,0,1.67,0,0,0,0
Albania,1989,female,0,0,0.75,0,0,0
Albania,1989,female,0,0,0,0,0.67,0
Albania,1989,female,0,0,0,0,0,0
Albania,1989,female,0,0,0,0,0,0
Albania,1989,male,0,0,0,0,0,0
Albania,1992,male,0,0,0,3.49,0,0
Albania,1992,male,0,3.41,0,0,0,0
Albania,1992,male,0,0,0,0,3.13,0
Albania,1992,male,0,0,2.85,0,0,0
Albania,1992,female,0,2.39,0,0,0,0
Albania,1992,female,0,0,1.5,0,0,0
Albania,1992,female,0,0,0,0.62,0,0
Albania,1992,female,0,0,0,0,0.61,0
Albania,1992,female,0,0,0,0,0,0
Albania,1992,female,0,0,0,0,0,0
Albania,1992,male,0,0,0,0,0,0
Albania,1992,male,0,0,0,0,0,0
Albania,1993,male,0,7.4,0,0,0,0
Albania,1993,male,0,0,0,0,4.24,0
Albania,1993,male,0,0,0,0,0,4.13
Albania,1993,male,0,0,3.91,0,0,0
Albania,1993,female,0,3.51,0,0,0,0
Albania,1993,male,0,0,0,2.85,0,0
Albania,1993,female,0,0,2.67,0,0,0
Albania,1993,female,0,0,0,2.11,0,0
Albania,1993,female,0,0,0,0,1.18,0
Albania,1993,female,0.29,0,0,0,0,0
Albania,1993,male,0.27,0,0,0,0,0
Albania,1993,female,0,0,0,0,0,0
Albania,1994,male,0,0,0,0,0,8.13
Albania,1994,male,0,0,0,0,6.42,0
Albania,1994,female,0,0,0,0,0,5.01
Albania,1994,male,0,0,2.59,0,0,0
Albania,1994,male,0,0,0,2.48,0,0
Albania,1994,male,0,2.48,0,0,0,0
Albania,1994,female,0,2.12,0,0,0,0
Albania,1994,female,0,0,1.53,0,0,0
Albania,1994,female,0,0,0,0.58,0,0
Albania,1994,female,0,0,0,0,0.57,0
Albania,1994,male,0.27,0,0,0,0,0
Albania,1994,female,0,0,0,0,0,0
Albania,1995,male,0,0,5.58,0,0,0
Albania,1995,male,0,0,0,0,5.06,0
Albania,1995,female,0,0,0,0,0,4.9
Albania,1995,female,0,4.59,0,0,0,0
Albania,1995,male,0,4.56,0,0,0,0
Albania,1995,male,0,0,0,0,0,3.98
Albania,1995,male,0,0,0,3.72,0,0
Albania,1995,female,0,0,2.65,0,0,0
Albania,1995,female,0,0,0,2.24,0,0
Albania,1995,male,1.59,0,0,0,0,0
Albania,1995,female,0,0,0,0,1.11,0
Albania,1995,female,0.57,0,0,0,0,0
Albania,1996,male,0,0,0,0,0,7.87
Albania,1996,male,0,6.98,0,0,0,0
Albania,1996,male,0,0,5.95,0,0,0
Albania,1996,female,0,5.56,0,0,0,0
Albania,1996,female,0,0,0,0,0,4.85
Albania,1996,female,0,0,3.73,0,0,0
Albania,1996,male,0,0,0,3.16,0,0
Albania,1996,female,0,0,0,2.49,0,0
Albania,1996,male,0,0,0,0,1.67,0
Albania,1996,female,0,0,0,0,0.55,0
Albania,1996,male,0.53,0,0,0,0,0
Albania,1996,female,0.28,0,0,0,0,0
Albania,1997,male,0,0,15.25,0,0,0
Albania,1997,male,0,13.5,0,0,0,0
Albania,1997,male,0,0,0,0,0,11.81
Albania,1997,male,0,0,0,7.88,0,0
Albania,1997,female,0,7.14,0,0,0,0
Albania,1997,male,0,0,0,0,6.66,0
Albania,1997,female,0,0,5.84,0,0,0
Albania,1997,female,0,0,0,0,0,4.75
Albania,1997,female,0,0,0,1.89,0,0
Albania,1997,female,1.66,0,0,0,0,0
Albania,1997,male,1.05,0,0,0,0,0
Albania,1997,female,0,0,0,0,0,0
Albania,1998,male,0,0,0,0,0,11.63
Albania,1998,male,0,10.85,0,0,0,0
Albania,1998,female,0,10.83,0,0,0,0
Albania,1998,male,0,0,10.82,0,0,0
Albania,1998,male,0,0,0,7.47,0,0
Albania,1998,male,0,0,0,0,4.9,0
Albania,1998,female,0,0,3.63,0,0,0
Albania,1998,female,0,0,0,0,3.19,0
Albania,1998,female,0,0,0,2.42,0,0
Albania,1998,male,0.51,0,0,0,0,0
Albania,1998,female,0.27,0,0,0,0,0
Albania,1998,female,0,0,0,0,0,0
Albania,1999,male,0,0,0,0,0,11.58
Albania,1999,male,0,9.58,0,0,0,0
Albania,1999,female,0,0,0,0,0,9.43
Albania,1999,male,0,0,0,7.93,0,0
Albania,1999,male,0,0,7.84,0,0,0
Albania,1999,male,0,0,0,0,7.56,0
Albania,1999,female,0,6.4,0,0,0,0
Albania,1999,female,0,0,4.7,0,0,0
Albania,1999,female,0,0,0,0,3.18,0
Albania,1999,female,0,0,0,1.34,0,0
Albania,1999,female,0.27,0,0,0,0,0
Albania,1999,male,0,0,0,0,0,0
Albania,2000,male,0,0,7.33,0,0,0
Albania,2000,male,0,0,0,0,5.64,0
Albania,2000,female,0,0,0,0,0,5.29
Albania,2000,male,0,0,0,0,0,4.02
Albania,2000,female,0,2.27,0,0,0,0
Albania,2000,male,0,2.08,0,0,0,0
Albania,2000,female,0,0,0,1.51,0,0
Albania,2000,female,0,0,1.22,0,0,0
Albania,2000,male,0,0,0,1.07,0,0
Albania,2000,male,0.27,0,0,0,0,0
Albania,2000,female,0,0,0,0,0,0
Albania,2000,female,0,0,0,0,0,0
Albania,2001,male,0,0,10.65,0,0,0
Albania,2001,male,0,0,0,8.98,0,0
Albania,2001,male,0,0,0,0,5.59,0
