country,year,5-14 years,15-24 years,25-34 years,35-54 years,55-74 years,75+ years
Albania,1987,0,5.77,2.42,3.67,0.73,3.7
Albania,1988,0,4.02,1.85,2.935,2.44,4.985
Albania,1989,0,2.69,3.55,3.57,2.445,8.89
Albania,1992,0,2.9,2.175,2.055,1.87,0
Albania,1993,0.28,5.455,3.29,2.48,2.71,4.13
Albania,1994,0.27,2.3,2.06,1.53,3.495,6.57
Albania,1995,1.08,4.575,4.115,2.98,3.085,4.44
Albania,1996,0.405,6.27,4.84,2.825,1.11,6.36
Albania,1997,1.355,10.32,10.545,4.885,6.66,8.28
Albania,1998,0.39,10.84,7.225,4.945,4.045,11.63
Albania,1999,0.27,7.99,6.27,4.635,5.37,10.505
Albania,2000,0.27,2.175,4.275,1.29,5.64,4.655
Albania,2001,1.26,3.615,6.225,6.11,4.375,3.725
Albania,2002,0.32,5.385,7.14,6.58,4.325,7.505
Albania,2003,1.28,5.21,4.21,5.33,6.27,7.64
Albania,2004,0.69,6.735,6.4,7.145,3.15,8.575
Albania,2005,0,0,0,0,0,0
Albania,2006,0,0,0,0,0,0
Albania,2007,1.47,4.57,4.79,5.615,5.16,12.055
Albania,2008,1.54,5.54,8.54,7.315,6.135,6.455
Albania,2009,0,0,0,0,0,0
Albania,2010,0.89,2.93,4.14,4.21,5.585,3.52
Antigua and Barbuda,1985,0,0,0,0,0,0
Antigua and Barbuda,1986,0,0,0,0,0,0
Antigua and Barbuda,1987,0,0,0,0,0,0
Antigua and Barbuda,1988,0,0,0,0,0,0
Antigua and Barbuda,1989,0,0,0,0,0,0
Antigua and Barbuda,1990,0,0,0,17.24,0,0
Antigua and Barbuda,1991,0,0,0,0,0,0
Antigua and Barbuda,1992,0,0,0,0,0,0
Antigua and Barbuda,1993,0,0,15,0,0,0
Antigua and Barbuda,1994,0,0,0,0,0,0
Antigua and Barbuda,1995,0,0,0,0,0,0
Antigua and Barbuda,1998,0,0,0,0,0,0
Antigua and Barbuda,1999,0,0,0,0,0,0
Antigua and Barbuda,2000,0,0,0,9.97,30,0
