Country Code,Year,corruption_index
NZL,2000,94
DNK,2000,98
FIN,2000,100
NOR,2000,91
CHE,2000,86
SGP,2000,91
SWE,2000,94
CAN,2000,92
LUX,2000,86
NLD,2000,89
GBR,2000,87
DEU,2000,76
AUS,2000,83
HKG,2000,77
ISL,2000,91
AUT,2000,77
BEL,2000,61
USA,2000,78
IRL,2000,72
JPN,2000,64
EST,2000,57
ARE,2000,52.3182106790229
FRA,2000,67
URY,2000,53.6210482578904
BRB,2000,52.0274029933492
BTN,2000,49.5721971399263
CHL,2000,74
BHS,2000,44.3968257307639
PRT,2000,64
QAT,2000,52.4340220786537
TWN,2000,55
BRN,2000,42.1700439792704
ISR,2000,66
BWA,2000,60
SVN,2000,55
POL,2000,41
SYC,2000,43.2182606322776
CRI,2000,54
LTU,2000,41
LVA,2000,34
VCT,2000,44.6944056348328
CYP,2000,50.2270899173359
CZE,2000,43
DMA,2000,45.4736184672351
ESP,2000,70
GEO,2000,41.4183373761821
MLT,2000,48.9320748405229
CPV,2000,46.6822450965707
RWA,2000,43.3121587286852
LCA,2000,46.4574758202806
KOR,2000,40
GRD,2000,38.6754140839468
NAM,2000,54
ITA,2000,46
MUS,2000,47
SVK,2000,35
HRV,2000,37
SAU,2000,43.0596387433676
GRE,2000,49
JOR,2000,46
ROU,2000,29
CUB,2000,42.4534997845552
MYS,2000,48
MNE,2000,41.9694349911777
STP,2000,41.2507888414474
HUN,2000,52
SEN,2000,35
BLR,2000,41
JAM,2000,40.2698429887045
OMN,2000,46.7520513719155
BGR,2000,35
ZAF,2000,50
VUT,2000,35.0520961748044
BFA,2000,30
LSO,2000,41.7443986275848
TUN,2000,52
CHN,2000,31
SRB,2000,39.746626063839
SUR,2000,40.6427728919056
TTO,2000,41.0629301498006
GHA,2000,35
IND,2000,28
MAR,2000,47
TUR,2000,38
ARG,2000,35
BEN,2000,38.6344717240849
XKX,2000,40.629393841914
KWT,2000,42.5398230335614
SLB,2000,34.8610103498552
SWZ,2000,39.0738936899034
ALB,2000,37.399236523087
BIH,2000,40.0836561398024
GUY,2000,37.9736910130891
LKA,2000,39.9994452762342
TLS,2000,37.1997961047723
BRA,2000,39
COL,2000,32
IDN,2000,17
PAN,2000,39.3496895030111
PER,2000,44
THA,2000,32
ZMB,2000,34
BHR,2000,45.7906177350566
CIV,2000,27
MNG,2000,39.1120253767217
TZA,2000,25
ARM,2000,25
ETH,2000,32
MKD,2000,40.6928999415534
VNM,2000,25
PHL,2000,28
DZA,2000,37.7080377600358
BOL,2000,27
SLV,2000,41
MDV,2000,37.275197049017
NER,2000,37.2949311046174
ECU,2000,26
EGY,2000,31
GAB,2000,38.9216789399508
PAK,2000,36.2988185352552
TGO,2000,38.2196506381344
AZE,2000,15
DJI,2000,39.5235783898731
KAZ,2000,30
LBR,2000,39.536842179546
MWI,2000,41
MLI,2000,37.9668788014305
NPL,2000,36.3242045281413
MDA,2000,26
GMB,2000,36.6420230276409
IRN,2000,36.1350847701051
MMR,2000,33.6358059476224
SLE,2000,35.9616648563793
UKR,2000,15
DOM,2000,36.8769209041251
HND,2000,36.0491625183319
KGZ,2000,35.4963422628493
LAO,2000,36.7485450251985
MEX,2000,33
PNG,2000,34.2043303724733
PRY,2000,35.3780058136047
RUS,2000,21
BGD,2000,32.1757130686796
GTM,2000,35.741910293665
KEN,2000,21
LBN,2000,37.5787477103307
MRT,2000,37.8259681483039
COM,2000,37.3044757895301
GIN,2000,34.7360975908641
NGA,2000,12
NIC,2000,34.6727099423364
UGA,2000,23
CMR,2000,20
MOZ,2000,22
MDG,2000,37.174775263243
CAF,2000,36.3439098890436
BDI,2000,34.4123232504854
HTI,2000,31.4813382374954
UZB,2000,24
ZWE,2000,30
KHM,2000,33.9963070510747
COG,2000,34.5110522757726
COD,2000,32.9204446919775
TJK,2000,33.8379660600794
TCD,2000,33.2835748830487
ERI,2000,35.054639552642
AGO,2000,17
TKM,2000,32.1360953847381
IRQ,2000,32.6949705396394
VEN,2000,27
PKR,2000,36.8983644307181
GNQ,2000,32.411084598181
GNB,2000,35.6991561300601
LBY,2000,32.7160536803512
SDN,2000,32.4715361814502
YEM,2000,33.9536936714728
AFG,2000,33.853728562441
SYR,2000,34.5171395531927
SSD,2000,38.4427130528523
SOM,2000,32.2695218453852
NZL,2001,94
DNK,2001,95
FIN,2001,99
NOR,2001,86
CHE,2001,84
SGP,2001,92
SWE,2001,90
CAN,2001,89
LUX,2001,87
NLD,2001,88
GBR,2001,83
DEU,2001,74
AUS,2001,85
HKG,2001,79
ISL,2001,92
AUT,2001,78
BEL,2001,66
USA,2001,76
IRL,2001,75
JPN,2001,71
EST,2001,56
ARE,2001,52.2161676355964
FRA,2001,67
URY,2001,51
BRB,2001,51.9253599499227
BTN,2001,49.4701540964998
CHL,2001,75
BHS,2001,44.2947826873374
PRT,2001,63
QAT,2001,52.3319790352272
TWN,2001,59
BRN,2001,42.0680009358439
ISR,2001,76
BWA,2001,60
SVN,2001,52
POL,2001,41
SYC,2001,43.1162175888511
CRI,2001,45
LTU,2001,48
LVA,2001,34
VCT,2001,44.5923625914062
CYP,2001,50.1250468739094
CZE,2001,39
DMA,2001,45.3715754238086
ESP,2001,70
GEO,2001,41.3162943327556
MLT,2001,48.8300317970964
CPV,2001,46.5802020531442
RWA,2001,43.2101156852587
LCA,2001,46.3554327768541
KOR,2001,42
GRD,2001,38.5733710405203
NAM,2001,54
ITA,2001,55
MUS,2001,45
SVK,2001,37
HRV,2001,39
SAU,2001,42.957595699941
GRE,2001,42
JOR,2001,49
ROU,2001,28
CUB,2001,42.3514567411287
MYS,2001,50
MNE,2001,41.8673919477512
STP,2001,41.1487457980209
HUN,2001,53
SEN,2001,29
BLR,2001,37.3558724185766
JAM,2001,40.1677999452779
OMN,2001,46.650008328489
BGR,2001,39
ZAF,2001,48
VUT,2001,34.9500531313779
BFA,2001,39.6930463491412
LSO,2001,41.6423555841582
TUN,2001,53
CHN,2001,35
SRB,2001,39.6445830204125
SUR,2001,40.5407298484791
TTO,2001,53
GHA,2001,34
IND,2001,27
MAR,2001,39.5629496894607
TUR,2001,36
ARG,2001,35
BEN,2001,38.5324286806583
XKX,2001,40.5273507984875
KWT,2001,42.4377799901349
SLB,2001,34.7589673064287
